Map Colour,Hexidecimal ID,Province Name,Province Owner,Region
,1,Dublin,England,Leinster
,2,Drogheda,England,Leinster
,3,Dundalk,England,Leinster
,4,Perugia,Perugia,Central Italy
,5,Kells,England,Leinster
,6,Bray,England,Leinster
,7,Kildare,Kildare,Leinster
,8,Carrickmacross,Dunsany,Leinster
,9,Mount Nugent,Dunsany,Leinster
,A,Longford,Uí Fhearghail,Leinster
,B,Ferbane,Uí Failghe,Leinster
,C,Tullamore,Uí Failghe,Leinster
,D,Roscrea,Uí Failghe,Leinster
,E,Durrow,Osraige,Leinster
,F,Athy,Kildare,Leinster
,10,Naas,Laigin,Leinster
,11,Redcross,Laigin,Leinster
,12,Wicklow,England,Leinster
,13,Acklow,England,Leinster
,14,Carlow,Kildare,Leinster
,15,Ferns,Laigin,Leinster
,16,Blackwater,Wexford,Leinster
,17,Wexford,Wexford,Leinster
,18,Rosslare,Wexford,Leinster
,19,Waterford,England,Leinster
,1A,Callan,Ormond,Munster
,1B,Kilkenny,Ormond,Munster
,1C,Kilmacthomas,Wexford,Munster
,1D,Cashel,Ormond,Munster
,1E,Tallow,Desmond (E),Munster
,1F,Mitchelstown,Desmond (E),Munster
,20,Cork,England,Munster
,21,Mallow,Deasmhumhain,Munster
,22,Bandon,Desmond (E),Munster
,23,Macroom,Deasmhumhain,Munster
,24,Carbery,Carbery,Munster
,25,Eyeries,Deasmhumhain,Munster
,26,Millstreet,Deasmhumhain,Munster
,27,Glenbeigh,Deasmhumhain,Munster
,28,Listowel,Desmond (E),Munster
,29,Adare,Desmond (E),Munster
,2A,Doon,Ormond,Munster
,2B,Limerick,England,Munster
,2C,Shannon,Thomond,Munster
,2D,Kilrush,Thomond,Munster
,2E,Kinvarra,Thomond,Munster
,2F,Mountshannon,Thomond,Munster
,30,Terrglass,Ormond,Munster
,31,Loughrea,Mac William Uachtar,Connacht
,32,Corrrofin,Mac William Uachtar,Connacht
,33,Athlone,Uí Maine,Connacht
,34,Athenry,England,Connacht
,35,Belclare,Mac William Uachtar,Connacht
,36,Galway,England,Connacht
,37,Lutty,Iar Connacht,Connacht
,38,Ballycroy,Umhaill,Connacht
,39,Kilkelly,Mac William Íochtar,Connacht
,3A,Skreen,Mac William Íochtar,Connacht
,3B,Ballaghaderreen,Cairbre Drom Cliabh,Connacht
,3C,Carrick-On-Shannon,Cairbre Drom Cliabh,Connacht
,3D,Castlebaldwin,Cairbre Drom Cliabh,Connacht
,3E,Ballinamore,Breifne Ua Ruairc,Connacht
,3F,Sligo,Cairbre Drom Cliabh,Connacht
,40,Cavan,Breifne Uí Raghallaigh,Ulster
,41,Cootehill,Airgíalla,Ulster
,42,Enniskillen,Fear Manach,Ulster
,43,Ballyshannon,Tír Chonaill,Ulster
,44,Dungloe,Tír Chonaill,Ulster
,45,Downings,MacSweeney,Ulster
,46,Buncrana,Tír Chonaill,Ulster
,47,Omagh,Tír Eoghain,Ulster
,48,Limavady,Ó Catháin,Ulster
,49,Armagh,Tír Eoghain,Ulster
,4A,Feeny,Clann Aodha Buí,Ulster
,4B,Ballymoney,The Route,Ulster
,4C,Newry,Iveagh,Ulster
,4D,Annalong,England,Ulster
,4E,Portaferry,England,Ulster
,4F,Belfast,Clann Aodha Buí,Ulster
,50,Antrim,Clann Aodha Buí,Ulster
,51,Carrickfergus,England,Ulster
,52,Ballycastle,The Glens,Ulster
,53,Shetland Islands,Scotland,Highlands
,54,Orkney,Scotland,Highlands
,55,Wick,Scotland,Highlands
,56,Lybster,Scotland,Highlands
,57,Brora,Scotland,Highlands
,58,Tongue,Scotland,Highlands
,59,Golspie,Scotland,Highlands
,5A,Scourie,Scotland,Highlands
,5B,Achmelvich,Scotland,Highlands
,5C,Bonar Bridge,Scotland,Highlands
,5D,Tain,Scotland,Highlands
,5E,Ullapool,Scotland,Highlands
,5F,Dingwall,Scotland,Highlands
,60,Muir of Ord,Scotland,Highlands
,61,Red Point,Scotland,Highlands
,62,Applecross,Scotland,Highlands
,63,Plockton,Scotland,Highlands
,64,Foyers,Scotland,Highlands
,65,Inverness,Scotland,Highlands
,66,Uig,Scotland,Highlands
,67,Dornie,Scotland,Highlands
,68,Fort William,Scotland,Highlands
,69,Laggan,Scotland,Highlands
,6A,Aviemore,Scotland,Highlands
,6B,Elgin,Scotland,Highlands
,6C,Arnol,Scotland,Highlands
,6D,Tarbert,Scotland,Highlands
,6E,Lochmaddy,Scotland,Highlands
,6F,Isle of Mull,Scotland,Highlands
,70,Elgin,Scotland,Aberdeen
,71,Keith,Scotland,Aberdeen
,72,Huntly,Scotland,Aberdeen
,73,Turriff,Scotland,Aberdeen
,74,Banff,Scotland,Aberdeen
,75,Mintlaw,Scotland,Aberdeen
,76,Aberdeen,Scotland,Aberdeen
,77,Tarland,Scotland,Aberdeen
,78,Edzell,Scotland,Aberdeen
,79,Montrose,Scotland,Aberdeen
,7A,Dundee,Scotland,Aberdeen
,7B,Dunkeld,Scotland,Aberdeen
,7C,Aberfeldy,Scotland,Central Scotland
,7D,Comrie,Scotland,Central Scotland
,7E,Perth,Scotland,Central Scotland
,7F,Crail,Scotland,Central Scotland
,80,Dunfermline,Scotland,Central Scotland
,81,Alloa,Scotland,Central Scotland
,82,Bridge of Orchy,Scotland,Central Scotland
,83,Glencoe,Scotland,Central Scotland
,84,Oban,Scotland,Central Scotland
,85,Ellenabeich,Scotland,Central Scotland
,86,Islay,Scotland,Central Scotland
,87,Tarbert,Scotland,Central Scotland
,88,Southend,Scotland,Central Scotland
,89,Isle of Arran,Scotland,Central Scotland
,8A,Bute,Scotland,Central Scotland
,8B,Helensburgh,Scotland,Central Scotland
,8C,Drymen,Scotland,Central Scotland
,8D,Stirling,Scotland,Central Scotland
,8E,Linlithgow,Scotland,Scot Lowlands
,8F,Edinburgh,Scotland,Scot Lowlands
,90,Roslin,Scotland,Scot Lowlands
,91,Livingston,Scotland,Scot Lowlands
,92,Glasgow,Scotland,Scot Lowlands
,93,Greenock,Scotland,Scot Lowlands
,94,Irvine,Scotland,Scot Lowlands
,95,Kilmarnock,Scotland,Scot Lowlands
,96,Cumnock,Scotland,Scot Lowlands
,97,Ayr,Scotland,Scot Lowlands
,98,Girvan,Scotland,Scot Lowlands
,99,Glenluce,Scotland,Scot Lowlands
,9A,Wigtown,Scotland,Scot Lowlands
,9B,Gatehouse of Fleet,Scotland,Scot Lowlands
,9C,New Galloway,Scotland,Scot Lowlands
,9D,Dumfries,Scotland,Scot Lowlands
,9E,Mann,England,Scot Lowlands
,9F,Thornhill,Scotland,Scot Lowlands
,A0,Lockerbie,Scotland,Scot Lowlands
,A1,Moffat,Scotland,Scot Lowlands
,A2,Wiston,Scotland,Scot Lowlands
,A3,Peebles,Scotland,Scot Lowlands
,A4,Melrose,Scotland,Scot Lowlands
,A5,Annan,Scotland,Scot Lowlands
,A6,Gretna Green,Scotland,Scot Lowlands
,A7,Newcastleton,Scotland,Scot Lowlands
,A8,Jedburgh,Scotland,Scot Lowlands
,A9,Dunbar,Scotland,Scot Lowlands
,AA,Duns,Scotland,Scot Lowlands
,AB,Berwick-Upon-Tweed,England,Northern England
,AC,Amble,England,Northern England
,AD,Barrow Burn,England,Northern England
,AE,Newcastle,England,Northern England
,AF,Sunderland,England,Northern England
,B0,Consett,England,Northern England
,B1,Hartlepool,England,Northern England
,B2,Durham,England,Northern England
,B3,Stainsby,England,Northern England
,B4,Bishop Auckland,England,Northern England
,B5,Darlington,England,Northern England
,B6,Bedale,England,Northern England
,B7,Helmsley,England,Northern England
,B8,Pickering,England,Northern England
,B9,Whitby,England,Northern England
,BA,Driffield,England,Northern England
,BB,Hull,England,Northern England
,BC,Goole,England,Northern England
,BD,Selby,England,Northern England
,BE,York,England,Northern England
,BF,Barton-Upon-Humber,England,Northern England
,C0,Carlise,England,Northern England
,C1,Penrith,England,Northern England
,C2,Maryport,England,Northern England
,C3,Egremont,England,Northern England
,C4,Kirkby,England,Northern England
,C5,Kendal,England,Northern England
,C6,Lancaster,England,Northern England
,C7,Settle,England,Northern England
,C8,Burnley,England,Northern England
,C9,Southport,England,Northern England
,CA,Manchester,England,Northern England
,CB,Liverpool,England,Northern England
,CC,Stockport,England,Northern England
,CD,Leeds,England,Northern England
,CE,Huddersfield,England,Northern England
,CF,Wakefield,England,Northern England
,D0,Barnsley,England,Midlands
,D1,Doncaster,England,Midlands
,D2,Sheffield,England,Midlands
,D3,Retford,England,Midlands
,D4,Newark-on-Trent,England,Midlands
,D5,Nottingham,England,Midlands
,D6,Derby,England,Midlands
,D7,Stoke-on-Trent,England,Midlands
,D8,Stafford,England,Midlands
,D9,Burton upon Tweed,England,Midlands
,DA,Melton Mobray,England,Midlands
,DB,Grantham,England,Midlands
,DC,North Hykeham,England,Midlands
,DD,Lincoln,England,Midlands
,DE,Scampton,England,Midlands
,DF,Grimsby,England,Midlands
,E0,Sutton on Sea,England,Midlands
,E1,Bahstahn (Boston),England,Midlands
,E2,Chester,England,Northern England
,E3,Shrewsbury,England,Midlands
,E4,Crewe,England,Midlands
,E5,Ludlow,England,Midlands
,E6,Kidderminster,England,Midlands
,E7,Hereford,England,Midlands
,E8,Gloucester,England,Southern England
,E9,Banbury,England,Southern England
,EA,Rugby/Coventry,England,Midlands
,EB,Oxford,England,Southern England
,EC,Reading,England,Southern England
,ED,Aylesburg,England,Southern England
,EE,Chiltern Hills,England,Southern England
,EF,Bicester,England,Southern England
,F0,Luton,England,Southern England
,F1,Bedford,England,Midlands
,F2,Northhampton,England,Midlands
,F3,Peterborough,England,Southern England
,F4,St Neots,England,Southern England
,F5,Stevenage,England,Southern England
,F6,Melbourn,England,Southern England
,F7,Cambridge,England,Southern England
,F8,King's Lynn,England,Southern England
,F9,Holt,England,Southern England
,FA,Cromer,England,Southern England
,FB,Norwich,England,Southern England
,FC,Bungay,England,Southern England
,FD,Dereham,England,Southern England
,FE,Lowestoft,England,Southern England
,FF,Southwold,England,Southern England
,100,Ipswich,England,Southern England
,101,Harwich,England,Southern England
,102,Braintree,England,Southern England
,103,Chelmsford,England,Southern England
,104,Basildon,England,Southern England
,105,Dartford,England,Southern England
,106,London,England,Southern England
,107,Rochester,England,Southern England
,108,Faversham,England,Southern England
,109,Canterbury,England,Southern England
,10A,Hastings,England,Southern England
,10B,Epsom,England,Southern England
,10C,Crawley,England,Southern England
,10D,Woking,England,Southern England
,10E,Worthing,England,Southern England
,10F,Winchester,England,Southern England
,110,Portsmouth,England,Southern England
,111,Salisbury,England,Southern England
,112,Lymington,England,Southern England
,113,Isle of Wright,England,Southern England
,114,Bournemouth,England,Southern England
,115,Bristol,England,Southern England
,116,Bridgwater,England,Southern England
,117,Exeter,England,Southern England
,118,Barnstaple,England,Southern England
,119,Plymouth,England,Southern England
,11A,Looe,England,Southern England
,11B,Truro,England,Southern England
,11C,Newport,England,Wales
,11D,Pontypool,England,Wales
,11E,Cardiff,England,Wales
,11F,Swansea,England,Wales
,120,Narberth,England,Wales
,121,Aberporth,England,Wales
,122,Tregaron,England,Wales
,123,Builth Wells,England,Wales
,124,Knighton,England,Wales
,125,Bishop's Castle,England,Wales
,126,Welshpool,England,Wales
,127,Llanfair Caereinion,England,Wales
,128,Borth,England,Wales
,129,Mold,England,Wales
,12A,Wrexham,England,Wales
